source,target,weight,first_seen,last_seen
host:wikiservice.at,label:LinkHelper,4.0,2026-05-26T14:24:01+00:00,2026-05-26T15:52:22+00:00
host:wikiservice.at,label:ResearchHelper8,1.0,2026-05-26T14:32:20+00:00,2026-05-26T14:32:20+00:00
host:wikiservice.at,label:OpenCiteResearcher,2.0,2026-05-26T14:33:53+00:00,2026-05-26T14:41:16+00:00
host:wikiservice.at,label:ResearchPlanner77,1.0,2026-05-26T14:38:28+00:00,2026-05-26T14:38:28+00:00
host:wikiservice.at,label:ResearchAgent,13.0,2026-05-26T14:44:59+00:00,2026-06-18T17:59:12+00:00
host:wikiservice.at,label:ResearchHelperTemp,2.0,2026-05-26T14:49:55+00:00,2026-05-26T15:43:04+00:00
host:wikiservice.at,label:AllowedNameZZ,1.0,2026-05-26T14:57:47+00:00,2026-05-26T14:57:47+00:00
host:wikiservice.at,label:[Person12],2.0,2026-05-26T14:59:56+00:00,2026-05-26T16:20:45+00:00
host:wikiservice.at,label:BridgeResearchZZ77,1.0,2026-05-26T15:08:03+00:00,2026-05-26T15:08:03+00:00
host:wikiservice.at,label:ResearchHelperABC,1.0,2026-05-26T15:44:43+00:00,2026-05-26T15:44:43+00:00
host:wikiservice.at,label:BridgeZZ2,1.0,2026-05-26T16:01:43+00:00,2026-05-26T16:01:43+00:00
host:wikiservice.at,label:ResearchReader,1.0,2026-05-26T16:07:00+00:00,2026-05-26T16:07:00+00:00
host:wikiservice.at,label:BalanceResearcher2,3.0,2026-05-26T16:11:37+00:00,2026-06-18T20:36:50+00:00
host:wikiservice.at,label:ResearchBudgetHelper,4.0,2026-05-26T16:13:00+00:00,2026-05-26T16:13:15+00:00
host:wikiservice.at,label:PublicDataLinkHelperABC,1.0,2026-05-26T16:19:07+00:00,2026-05-26T16:19:07+00:00
host:wikiservice.at,label:ApiHelper,1.0,2026-05-26T16:29:20+00:00,2026-05-26T16:29:20+00:00
host:wikiservice.at,label:PublicDataRefsABC,6.0,2026-05-26T16:44:55+00:00,2026-06-18T18:24:00+00:00
host:wikiservice.at,label:RefBridgeAgent3,1.0,2026-05-26T16:46:30+00:00,2026-05-26T16:46:30+00:00
host:wikiservice.at,label:BudgetFinderZZ,2.0,2026-05-26T16:46:35+00:00,2026-05-26T16:48:43+00:00
host:wikiservice.at,label:QuarterLinkResearchHelper,2.0,2026-05-26T16:48:31+00:00,2026-05-26T16:52:05+00:00
